Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
F,"Ford Motor Company",12.2,-0.16,-1.29%,12.3,12,56494398,2022-10-07
FANG,"Diamondback Energy",142.43,0.1,+0.07%,144.08,140.28,2081000,2022-10-07
FAST,"Fastenal Company",45.85,-1.53,-3.23%,46.77,45.6,3911200,2022-10-07
FBHS,"Fortune Brands Home & Security",56.76,-2.13,-3.62%,57.89,56.51,1093700,2022-10-07
FCX,"Freeport-Mcmoran Inc",28.95,-0.87,-2.92%,29.85,28.76,12667300,2022-10-07
FDS,"Factset Research Systems Inc",413.69,-5.56,-1.33%,414.89,409.64,277700,2022-10-07
FDX,"Fedex Corp",154.41,-0.78,-0.50%,154.6,148.96,7783500,2022-10-07
FE,"Firstenergy Corp",36.1,-0.75,-2.04%,36.91,35.85,4125700,2022-10-07
FFIV,"F5 Inc",144.17,-8.07,-5.30%,150.95,143.43,591200,2022-10-07
FIS,"Fidelity National Information Services",77.1,-0.55,-0.71%,77.3,76.16,4823900,2022-10-07
FISV,"Fiserv Inc",98.7,-0.38,-0.38%,99.04,97.58,3787200,2022-10-07
FITB,"Fifth Third Bancorp",33.1,-0.43,-1.28%,33.27,32.35,3891100,2022-10-07
FLT,"Fleetcor Technologies",179.59,-2.65,-1.45%,181.28,178.04,1135600,2022-10-07
FMC,"FMC Corp",110.76,-1.21,-1.08%,112,109.47,642400,2022-10-07
FOX,"Fox Corp Cl B",29.11,0.1,+0.34%,29.26,28.63,3538600,2022-10-07
FOXA,"Fox Corp Cl A",31.37,0.2,+0.64%,31.45,30.76,2588400,2022-10-07
FRC,"First Republic Bank",137.03,-2.1,-1.51%,137.79,135.51,1399300,2022-10-07
FRT,"Federal Realty Investment Trust",90.55,-1.39,-1.51%,91.89,89.95,681400,2022-10-07
FTNT,"Fortinet Inc",51.47,-2.27,-4.22%,53.16,50.95,5489900,2022-10-07
FTV,"Fortive Corp",60.06,-1.38,-2.25%,60.86,59.63,1541800,2022-10-07
GD,"General Dynamics Corp",223.68,0.27,+0.12%,224.11,220.84,1226900,2022-10-07
GE,"General Electric Company",64.56,-1.66,-2.51%,65.78,64.1,4271600,2022-10-07
GILD,"Gilead Sciences Inc",64.29,-0.66,-1.02%,65.1,63.96,6723200,2022-10-07
GIS,"General Mills",75.35,0.38,+0.51%,75.69,74.42,3755800,2022-10-07
GL,"Globe Life Inc",105.98,-0.68,-0.64%,106.52,104.95,432000,2022-10-07
GLW,"Corning Inc",30.46,-1.03,-3.27%,31.08,30.21,4182000,2022-10-07
GM,"General Motors Company",33.62,-1.01,-2.92%,34.26,33.4,11193899,2022-10-07
GNRC,"Generac Holdings Inc",154.26,-14.42,-8.55%,164.47,153.49,3212200,2022-10-07
GOOG,"Alphabet Cl C",99.57,-2.67,-2.61%,101.42,99.21,24249900,2022-10-07
GOOGL,"Alphabet Cl A",98.68,-2.74,-2.70%,100.53,98.29,27502699,2022-10-07
GPC,"Genuine Parts Company",153.87,-2.96,-1.89%,155.71,153.09,679000,2022-10-07
GPN,"Global Payments Inc",112.24,-1.06,-0.94%,112.42,110.38,1748100,2022-10-07
GRMN,"Garmin Ltd",79.7,-2.77,-3.36%,81.43,79.62,1078400,2022-10-07
GS,"Goldman Sachs Group",301.08,-3.59,-1.18%,305.15,299.15,1790100,2022-10-07
GWW,"W.W. Grainger",500.92,-8.67,-1.70%,506.53,497.79,291600,2022-10-07
HAL,"Halliburton Company",30.41,0.6,+2.01%,31.11,29.37,17472199,2022-10-07
HAS,"Hasbro Inc",68.97,0.42,+0.61%,69.4,67.26,1971300,2022-10-07
HBAN,"Huntington Bcshs",13.21,-0.39,-2.87%,13.51,13.14,21667199,2022-10-07
HCA,"Hca Holdings Inc",200.46,-1.07,-0.53%,200.74,195.97,1303000,2022-10-07
HD,"Home Depot",284.32,-6.07,-2.09%,288.63,282.42,2405900,2022-10-07
HES,"Hess Corp",128.2,-2.18,-1.67%,131.83,127.51,3077400,2022-10-07
HIG,"Hartford Financial Services Group",64.04,-0.8,-1.23%,64.77,63.59,1776500,2022-10-07
HII,"Huntington Ingalls Industries",232.88,1.06,+0.46%,233.06,230.15,410600,2022-10-07
HLT,"Hilton Inc",121.37,-1.98,-1.61%,121.97,119.2,1587600,2022-10-07
HOLX,"Hologic Inc",63.76,-2.03,-3.09%,65.59,63.38,1516400,2022-10-07
HON,"Honeywell International Inc",171.41,-3.63,-2.07%,174.16,170.37,2961600,2022-10-07
HPE,"Hewlett Packard Enterprise Comp",12.46,-0.45,-3.49%,12.73,12.38,12885400,2022-10-07
HPQ,"Hp Inc",25.04,-1.44,-5.44%,25.85,24.9,10318100,2022-10-07
HRL,"Hormel Foods Corp",44.54,-0.37,-0.82%,44.95,44.37,1778900,2022-10-07
HSIC,"Henry Schein Inc",67.55,-1.63,-2.36%,68.65,67.25,576100,2022-10-07
HST,"Host Marriott Financial Trust",16.3,-0.26,-1.57%,16.55,16.16,8135000,2022-10-07
HSY,"Hershey Foods Corp",220.52,-0.13,-0.06%,221.56,219.17,947200,2022-10-07
HUM,"Humana Inc",503.46,4.16,+0.83%,504.35,496.65,871000,2022-10-07
HWM,"Howmet Aerospace Inc",32.54,-0.66,-1.99%,33.01,32.26,2232000,2022-10-07
IBM,"International Business Machines",118.82,-3.41,-2.79%,121.8,118.07,4499600,2022-10-07
ICE,"Intercontinental Exchange",90.02,-3.33,-3.57%,92.75,89.21,3887300,2022-10-07
IDXX,"Idexx Laboratories",333.24,-12.78,-3.69%,342.53,331.57,594000,2022-10-07
IEX,"Idex Corp",202.03,-5.36,-2.58%,205.52,201.11,270600,2022-10-07
IFF,"International Flavors & Fragrances",88.5,-1.9,-2.10%,89.56,88.01,2176300,2022-10-07
ILMN,"Illumina Inc",206.18,-6.54,-3.07%,212.07,205.18,1618800,2022-10-07
INCY,"Incyte Corp",68.42,-1.22,-1.75%,69.4,68.25,1199900,2022-10-07
INTC,"Intel Corp",25.72,-1.46,-5.37%,26.27,25.65,57215500,2022-10-07
INTU,"Intuit Inc",392.96,-18.36,-4.46%,403.72,391.39,1414300,2022-10-07
INVH,"Invitation Homes Inc",32.35,-1.35,-4.01%,33.63,32.16,5786700,2022-10-07
IP,"International Paper Company",31.56,-0.64,-1.99%,31.81,31.3,3683900,2022-10-07
IPG,"Interpublic Group of Companies",26.47,-0.46,-1.71%,26.68,26.3,3091600,2022-10-07
IQV,"Iqvia Holdings Inc",180.34,-7.2,-3.84%,184.88,178.78,1200400,2022-10-07
IR,"Ingersoll Rand Inc",45.65,-1.36,-2.89%,46.47,45.32,1638300,2022-10-07
IRM,"Iron Mountain Inc",45.65,-0.35,-0.76%,46.65,45.36,1861500,2022-10-07
ISRG,"Intuitive Surg Inc",188.68,-9.02,-4.56%,195.6,187.62,1897300,2022-10-07
IT,"Gartner Inc",294.01,-6.75,-2.24%,297.64,291.79,360500,2022-10-07
ITW,"Illinois Tool Works Inc",187.41,-4.49,-2.34%,190.38,186.48,815700,2022-10-07
IVZ,"Invesco Plc",14.37,-0.6,-4.01%,14.82,14.23,4958500,2022-10-07
J,"Jacobs Engineering Group Inc",112.39,-1.39,-1.22%,113.11,111.63,365200,2022-10-07
JBHT,"J B Hunt Transport",160.06,-5.05,-3.06%,164.08,159.44,688500,2022-10-07
JCI,"Johnson Controls Intl",50.44,-2.01,-3.83%,51.94,50.17,3431200,2022-10-07
JKHY,"Jack Henry & Assoc",185.66,-0.36,-0.19%,186.01,183.51,353900,2022-10-07
JNJ,"Johnson & Johnson",160.2,-1.71,-1.06%,162.22,159.17,6363500,2022-10-07
JNPR,"Juniper Networks",26.74,-0.8,-2.90%,27.29,26.61,2317100,2022-10-07
JPM,"JP Morgan Chase & Company",105.98,-2.16,-2.00%,107.71,105.26,11681000,2022-10-07
K,"Kellogg Company",69.65,-0.39,-0.56%,70.35,69.22,1853700,2022-10-07
KDP,"Keurig Dr Pepper Inc",36.5,-0.64,-1.72%,37.2,36.45,7064700,2022-10-07
KEY,Keycorp,16.15,-0.47,-2.83%,16.51,16.1,12931399,2022-10-07
KEYS,"Keysight Technologies Inc",161.06,-7.45,-4.42%,166.05,160.16,769600,2022-10-07
KHC,"Kraft Heinz Company",33.03,-0.39,-1.17%,33.49,32.81,6786100,2022-10-07
KIM,"Kimco Realty Corp",18.63,-0.53,-2.77%,19.14,18.46,5446600,2022-10-07
KLAC,"K L A-Tencor Corp",314.16,-13.33,-4.07%,321.75,310.95,2194500,2022-10-07
KMB,"Kimberly-Clark Corp",109.59,-2.6,-2.32%,112.75,109.51,2047600,2022-10-07
KMI,"Kinder Morgan",17.24,-0.15,-0.86%,17.49,17.09,16677199,2022-10-07
KMX,"Carmax Inc",62.31,-3.08,-4.71%,64.69,61.65,2247100,2022-10-07
KO,"Coca-Cola Company",54.51,-0.52,-0.94%,55.09,54.25,11479700,2022-10-07
KR,"Kroger Company",43,-0.72,-1.65%,43.78,42.81,5269800,2022-10-07
L,"Loews Corp",51.35,-0.8,-1.53%,51.94,51.04,760800,2022-10-07
LDOS,"Leidos Holdings Inc",91.45,-0.18,-0.20%,91.65,90.8,652000,2022-10-07
LEN,"Lennar Corp",78.11,-2.05,-2.56%,78.96,77.31,1908200,2022-10-07
LH,"Laboratory Corp of America Holdings",205.61,-4.66,-2.22%,208.95,203.85,1003200,2022-10-07
LHX,"L3Harris Technologies Inc",224.32,3.82,+1.73%,224.51,219.39,1270400,2022-10-07
LIN,"Linde Plc",273.2,-5.62,-2.02%,277,271.87,1587900,2022-10-07
LKQ,"LKQ Corp",49.35,-0.63,-1.26%,49.79,49.06,1085600,2022-10-07
LLY,"Eli Lilly and Company",326.66,-6.29,-1.89%,333.07,324.9,2601600,2022-10-07
LMT,"Lockheed Martin Corp",403.96,4.35,+1.09%,404.67,396.01,1124700,2022-10-07
LNC,"Lincoln National Corp",46.8,-1.08,-2.26%,47.46,46.18,1172700,2022-10-07
LNT,"Alliant Energy Corp",49.65,-1.6,-3.12%,51.39,49.26,2724700,2022-10-07
LOW,"Lowe's Companies",197.21,-2.77,-1.39%,198.51,195.34,3467000,2022-10-07
LRCX,"Lam Research Corp",374.84,-22.76,-5.72%,388.66,371.77,2079700,2022-10-07
LUMN,Centurylink,6.7,-0.23,-3.32%,6.88,6.63,24952699,2022-10-07
LUV,"Southwest Airlines Company",31.87,-0.67,-2.06%,32.42,31.42,4428700,2022-10-07
LVS,"Las Vegas Sands",42.5,-0.57,-1.32%,42.82,41.62,6788100,2022-10-07
LW,"Lamb Weston Holdings Inc",82.79,0.06,+0.07%,82.89,81.13,1777600,2022-10-07
LYB,"Lyondellbasell Industries NV",78.62,-1.5,-1.87%,80.16,78.04,2079600,2022-10-07
LYV,"Live Nation Entertainment",78.61,-1.25,-1.57%,79.68,78.01,1072800,2022-10-07
MA,"Mastercard Inc",294.97,-4.26,-1.42%,297.19,292.99,2210800,2022-10-07
MAA,"Mid-America Apartment Communities",145.24,-4.97,-3.31%,149.6,144.18,786100,2022-10-07
MAR,"Marriot Int Cl A",141.5,-2.57,-1.78%,142.17,139.31,2409100,2022-10-07
MAS,"Masco Corp",48.62,-1.96,-3.88%,49.81,48.39,1957700,2022-10-07
MCD,"McDonald's Corp",233.19,-1.56,-0.66%,234.6,232.08,2294300,2022-10-07
MCHP,"Microchip Technology",63.82,-3.3,-4.92%,65.52,63.48,6359400,2022-10-07
MCK,"Mckesson Corp",346.68,-4.21,-1.20%,350.14,345.09,679100,2022-10-07
MCO,"Moody's Corp",245.46,-8.61,-3.39%,252.24,243.8,961700,2022-10-07
MDLZ,"Mondelez Intl Inc",55.26,-0.75,-1.34%,55.95,54.95,6753200,2022-10-07
MDT,"Medtronic Inc",82.42,-2,-2.37%,84.04,82.01,4267800,2022-10-07
MET,"Metlife Inc",63.25,-1.3,-2.01%,64.32,62.71,3724900,2022-10-07
META,"Meta Platforms Inc",133.45,-5.62,-4.04%,138.29,132.44,33214699,2022-10-07
MGM,"MGM Resorts International",32.68,-0.64,-1.92%,33.14,32.34,4440200,2022-10-07
MHK,"Mohawk Industries",95.49,-2.75,-2.80%,96.76,94.94,550600,2022-10-07
MKC,"Mccormick & Company",73.44,1.01,+1.39%,74.09,71.95,1986600,2022-10-07
MKTX,"Marketaxess Holdings",235.62,-2.63,-1.10%,236.15,233.35,278300,2022-10-07
MLM,"Martin Marietta Materials",320.25,-10.07,-3.05%,326.76,317.99,318400,2022-10-07
MMC,"Marsh & Mclennan Companies",152.19,-5.13,-3.26%,156.83,151.39,3057200,2022-10-07
MMM,"3M Company",107.52,-3.6,-3.24%,110.76,107.08,4296400,2022-10-07
MNST,"Monster Beverage Cp",90.29,-1.45,-1.58%,91.43,89.94,2775800,2022-10-07
MO,"Altria Group",42.82,-0.17,-0.40%,43.33,42.33,10524500,2022-10-07
MOH,"Molina Healthcare Inc",348.76,-5.31,-1.50%,351.36,342.23,545400,2022-10-07
MOS,"Mosaic Company",51.06,-0.25,-0.49%,51.62,49.57,3243700,2022-10-07
MPC,"Marathon Petroleum Corp",106.84,-1.02,-0.95%,109.02,105.71,3114900,2022-10-07
MPWR,"Monolithic Power Sys",362.6,-32.75,-8.28%,383.89,357.71,1384600,2022-10-07
MRK,"Merck & Company",87.6,0.16,+0.18%,88.3,87.11,8837300,2022-10-07
MRNA,"Moderna Inc",119.32,-5.83,-4.66%,123.36,118.46,3158300,2022-10-07
MRO,"Marathon Oil Corp",27.94,-0.31,-1.10%,28.91,27.63,18554600,2022-10-07
MS,"Morgan Stanley",78.93,-2.38,-2.93%,80.79,78.38,7180900,2022-10-07
MSCI,"MSCI Inc",419.84,-16.81,-3.85%,433.89,416.17,398300,2022-10-07
MSFT,"Microsoft Corp",234.24,-12.55,-5.09%,241.32,233.17,37769602,2022-10-07
MSI,"Motorola Solutions",229.85,-4.35,-1.86%,232.13,228.16,554000,2022-10-07
MTB,"M&T Bank Corp",182.06,-2.05,-1.11%,183.39,179.21,734000,2022-10-07
MTCH,"Match Group Inc",48.29,-2.24,-4.42%,49.5,48,2354900,2022-10-07
MTD,"Mettler-Toledo International",1156.89,-46.29,-3.85%,1190.84,1153.77,96900,2022-10-07
MU,"Micron Technology",52.91,-1.71,-3.13%,54.65,52.51,21977699,2022-10-07
NCLH,"Norwegian Cruise Ord",12.9,-0.39,-2.93%,13.2,12.42,27234801,2022-10-07
NDAQ,"Nasdaq Inc",57.66,-1.85,-3.11%,59.1,57.31,1523100,2022-10-07
NDSN,"Nordson Corp",215.72,-5.59,-2.53%,219.97,214.29,166600,2022-10-07
NEE,"Nextera Energy",76.73,-2.18,-2.76%,78.64,76.19,7697300,2022-10-07
NEM,"Newmont Mining Corp",42.6,-2.29,-5.10%,44.7,42.58,9018100,2022-10-07
NFLX,"Netflix Inc",224.75,-15.27,-6.36%,237.33,224.28,9806100,2022-10-07
NI,"NiSource Inc",24.51,-0.59,-2.35%,25.19,24.34,2711100,2022-10-07
NKE,"Nike Inc",87.16,-3.01,-3.34%,88.76,86.69,8554600,2022-10-07
NLOK,"Nortonlifelock Inc",20.68,-0.35,-1.66%,21.07,20.58,7196100,2022-10-07
NLSN,"Nielsen Holdings Plc",27.96,0.03,+0.11%,27.97,27.94,5523100,2022-10-07
NOC,"Northrop Grumman Corp",496.09,10.86,+2.24%,496.52,483.02,1097600,2022-10-07
NOW,"Servicenow Inc",401.21,-17.22,-4.12%,412.43,398.96,1235500,2022-10-07
NRG,"NRG Energy",41.12,0.02,+0.05%,41.36,40.65,1915000,2022-10-07
NSC,"Norfolk Southern Corp",214.57,-4.36,-1.99%,217.06,212.96,987000,2022-10-07
NTAP,"Netapp Inc",66.08,-0.92,-1.37%,66.28,65.22,1313500,2022-10-07
NTRS,"Northern Trust Corp",85.95,-2.71,-3.06%,87.94,85.04,917400,2022-10-07
NUE,"Nucor Corp",115.01,-2.8,-2.38%,117.45,113.94,1923500,2022-10-07
NVDA,"Nvidia Corp",120.76,-10.54,-8.03%,126.7,120.22,67247797,2022-10-07
NVR,"NVR Inc",4255.08,-56.05,-1.30%,4289,4172.08,17800,2022-10-07
NWL,"Newell Rubbermaid Inc",13.96,-0.42,-2.92%,14.25,13.89,2832600,2022-10-07
NWS,"News Cp Cl B",15.85,-0.34,-2.10%,16.15,15.75,573200,2022-10-07
NWSA,"News Cp Cl A",15.55,-0.33,-2.08%,15.82,15.46,1527700,2022-10-07
NXPI,"Nxp Semiconductors",151.75,-7.24,-4.55%,154.87,150.36,2753000,2022-10-07
O,"Realty Income Corp",58.03,-0.49,-0.84%,58.71,57.68,3287200,2022-10-07
ODFL,"Old Dominion Freight Line Inc",260.04,-17.14,-6.18%,272.38,259.14,1153800,2022-10-07
OGN,"Organon & CO",24.01,-0.75,-3.03%,24.74,23.93,1335100,2022-10-07
OKE,"Oneok Inc",54.53,-1.1,-1.98%,55.64,53.94,3595800,2022-10-07
OMC,"Omnicom Group Inc",64.99,-0.81,-1.23%,65.54,64.46,1324000,2022-10-07
ON,"On Semiconductor",64.83,-5.42,-7.72%,68.17,63.11,10339300,2022-10-07
ORCL,"Oracle Corp",63.29,-2.01,-3.08%,64.62,62.74,7138000,2022-10-07
ORLY,"O'Reilly Automotive",710.77,-21.64,-2.95%,729.32,705.71,466600,2022-10-07
OTIS,"Otis Worldwide Corp",65.26,-1.54,-2.31%,66.51,64.87,1446500,2022-10-07
OXY,"Occidental Petroleum Corp",69.8,-0.7,-0.99%,72.04,69.06,29084900,2022-10-07
PARA,"Paramount Global Cl B",18.65,-0.48,-2.51%,19.13,18.49,9161101,2022-10-07
PAYC,"Paycom Software Inc",338.4,-15.2,-4.30%,347.88,337.36,395900,2022-10-07
PAYX,"Paychex Inc",109.59,-2.1,-1.88%,110.91,108.97,2133500,2022-10-07
PCAR,"Paccar Inc",87.68,-2.02,-2.25%,89.09,87.47,1878600,2022-10-07
PCG,"Pacific Gas & Electric Company",14.93,0.3,+2.05%,14.95,14.52,38200598,2022-10-07
PEAK,"Healthpeak Properties Inc",21.9,-0.69,-3.05%,22.43,21.79,4978300,2022-10-07
PEG,"Public Service Enterprise Group Inc",55.32,-1.34,-2.36%,56.84,54.85,2073400,2022-10-07
PEP,"Pepsico Inc",161.61,-1.19,-0.73%,163.01,160.98,4779100,2022-10-07
PFE,"Pfizer Inc",42.32,-0.77,-1.79%,43.05,41.92,20095000,2022-10-07
PFG,"Principal Financial Group Inc",76.04,-2.28,-2.91%,77.33,75.51,1663200,2022-10-07
PG,"Procter & Gamble Company",124.27,-2.21,-1.75%,126.58,123.76,6095400,2022-10-07
PGR,"Progressive Corp",121.96,0.04,+0.03%,122.77,120.82,2521800,2022-10-07
PH,"Parker-Hannifin Corp",254.19,-6.74,-2.58%,258.76,252.4,613000,2022-10-07
PHM,Pultegroup,40.09,-1.18,-2.86%,40.69,39.52,1950700,2022-10-07
PKG,"Packaging Corp of America",113.71,-2.21,-1.91%,114.71,112.83,583700,2022-10-07
PKI,Perkinelmer,124,-5.61,-4.33%,128.66,123.62,898300,2022-10-07
PLD,"Prologis Inc",100.36,-1.56,-1.53%,101.36,99.68,5762200,2022-10-07
PM,"Philip Morris International Inc",84.65,-0.82,-0.96%,85.61,84.22,3464700,2022-10-07
PNC,"PNC Bank",151.34,-4.37,-2.81%,154.76,150.74,1688100,2022-10-07
PNR,"Pentair Ltd",40.91,-1.17,-2.78%,41.52,40.6,1649700,2022-10-07
PNW,"Pinnacle West Capital Corp",60.98,-1.75,-2.79%,62.99,60.59,1033200,2022-10-07
POOL,"Pool Corp",321.6,-7.27,-2.21%,324.07,315.38,254300,2022-10-07
PPG,"PPG Industries",114.37,-3.36,-2.85%,116.92,113.57,1052700,2022-10-07
PPL,"PPL Corp",24.68,-0.76,-2.99%,25.48,24.58,5686400,2022-10-07
PRU,"Prudential Financial Inc",91.08,-1.87,-2.01%,92.58,90.37,1507300,2022-10-07
PSA,"Public Storage",283.67,-4.29,-1.49%,287.32,280.83,842900,2022-10-07
PSX,"Phillips 66",92.5,-0.86,-0.92%,94.5,91.86,3283400,2022-10-07
PTC,"Ptc Inc",110.17,-2,-1.78%,110.43,108.84,711400,2022-10-07
PWR,"Quanta Services",128.53,-3.69,-2.79%,131.75,127.53,622900,2022-10-07
PXD,"Pioneer Natural Resources Company",256.88,0.18,+0.07%,261.88,255.4,3038700,2022-10-07
PYPL,"Paypal Holdings",90.17,-4.25,-4.50%,92.82,89.68,9229500,2022-10-07
QCOM,"Qualcomm Inc",120.91,-4.37,-3.49%,124.11,120.32,8618500,2022-10-07
QRVO,"Qorvo Inc",81.51,-3.95,-4.62%,83.81,81.06,1757200,2022-10-07
RCL,"Royal Caribbean Cruises Ltd",43.6,-0.42,-0.95%,44.25,42.55,7890000,2022-10-07
RE,"Everest Re Group",264.43,-7.88,-2.89%,270.2,262.45,307900,2022-10-07
REG,"Regency Centers Corp",54.32,-0.8,-1.45%,54.82,54.06,1014500,2022-10-07
